Kuka_Referential,,,,,,,,,,,,,
conewidth,videoid,x_pos,y_pos,center_xpos,center_ypos,distance(m),correct,incorrect,ambiguous,,,,
pos0,perspective_corrected,0.9909275707,-0.445243629,0.7793059777,-0.2546986908,0.93446,-0.3944,14,3,13,0.07598461128,0.2087803306,0.1327957193
pos1,perspective_corrected,1.097908243,-0.5415694587,0.8832770001,-0.3483146199,0.93446,-0.3944,2,26,2,0.2199413049,0.06887351986,0.151067785
pos2,perspective_corrected,0.962674747,-0.4198046723,0.7701305184,-0.2464370702,0.93446,-0.3944,25,2,3,0.03796668702,0.2211271289,0.1831604418
pos3,perspective_corrected,0.9530205881,-0.4111120286,0.7899821623,-0.2643115706,0.93446,-0.3944,25,2,3,0.02497573483,0.1944141071,0.1694383723
pos4,perspective_corrected,1.063140555,-0.5102644924,0.8680922927,-0.3346422479,0.93446,-0.3944,1,3,26,0.1731567669,0.08930655916,0.08385020771
pos5,perspective_corrected,0.9948028309,-0.448732929,0.8184810768,-0.2899721085,0.93446,-0.3944,1,2,27,0.08119928827,0.156065035,0.07486574674
pos6,perspective_corrected,1.103147637,-0.5462870308,0.7987777466,-0.2722311503,0.93446,-0.3944,3,3,24,0.2269916058,0.182578481,0.0444131248
pos7,perspective_corrected,1.005424902,-0.4582970847,0.9108745857,-0.3731635976,0.93446,-0.3944,3,2,25,0.09549269474,0.03173730541,0.06375538933
Baxter_Reverse_Referntial,,,,,,,,,,,,,
width,xpos,ypos,centerx,centery,correct,incorrect,ambiguous,,,,,,
45,0.7947785417,-0.0931938695,0.9051,0.00472,29,0,1,,,,,,
45,1.051377365,0.0636961412,0.9051,0.00472,27,2,1,,,,,,
45,0.9844839716,-0.0809417502,0.9051,0.00472,28,1,1,,,,,,
45,0.9007257235,0.0289763901,0.9051,0.00472,27,0,3,,,,,,
67.5,0.8345243573,0.1290663638,0.90017,0.01421,26,2,2,,,,,,
67.5,0.7039429749,-0.0061410443,0.90017,0.01421,29,1,0,,,,,,
67.5,0.9655473259,0.225078855,0.90017,0.01421,29,1,0,,,,,,
67.5,0.9339912902,-0.1809733358,0.90017,0.01421,27,0,3,,,,,,
90,1.116330533,-0.0115598303,0.90017,0.01421,29,0,1,,,,,,
90,1.066459677,0.2091523623,0.90017,0.01421,26,2,2,,,,,,
90,0.6462769955,-0.1230947676,0.90017,0.01421,30,0,0,,,,,,
90,1.133552108,0.1237376816,0.90017,0.01421,29,0,1,,,,,,
90,0.8401735057,-0.2429468852,0.90017,0.01421,27,0,2,,,,,,
90,1.055218163,-0.1468524683,0.90017,0.01421,29,1,0,,,,,,
90,0.7184454869,-0.2141417517,0.90017,0.01421,28,0,2,,,,,,
Baxter_Reverse_Spatial,,,,,,,,,,,,,
width,xpos,ypos,centerx,centery,correct,incorrect,ambiguous,,,,,,
45,1.015772004,-0.3153264433,0.90781,-0.41562,12,8,10,,,,,,
45,0.9423770365,-0.5037037732,0.90781,-0.41562,24,2,4,,,,,,
45,0.9041737804,-0.3938886353,0.90781,-0.41562,26,2,2,,,,,,
45,0.8018863765,-0.4100034535,0.90781,-0.41562,12,5,13,,,,,,
45,0.9163625548,-0.2715310155,0.90781,-0.41562,7,10,13,,,,,,
67.5,1.122098546,-0.4159870978,0.90781,-0.41562,17,6,7,,,,,,
67.5,0.786760371,-0.3142958414,0.90781,-0.41562,9,10,11,,,,,,
67.5,0.8191531126,-0.590076795,0.90781,-0.41562,15,5,5,,,,,,
67.5,1.056850901,-0.5010195374,0.90781,-0.41562,10,12,8,,,,,,
90,0.8672994239,-0.1744489349,0.90781,-0.41562,3,25,2,,,,,,
90,0.9663642158,-0.1665618249,0.90781,-0.41562,5,23,2,,,,,,
90,1.18193466,-0.2684971882,0.90781,-0.41562,17,7,6,,,,,,
90,0.6622994273,-0.5582262989,0.90781,-0.41562,23,2,5,,,,,,
90,0.6606821897,-0.3447404538,0.90781,-0.41562,1,26,3,,,,,,
90,0.7619705341,-0.6837028285,0.90781,-0.41562,4,23,3,,,,,,
90,0.6830550819,-0.4370117074,0.90781,-0.41562,9,12,9,,,,,,
90,1.019728229,-0.5839439138,0.90781,-0.41562,8,12,10,,,,,,
